 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None,Apartments
"The Point Financial Group, Inc.",None,None,Jim Blount,Phone: ,(479) 872-9998,None,None,None,jim.blount@pointfg.com,Fax:  ,(479) 872-2614,None,None,None,http://www.pointfg.com,None,None,"6576 Lynch's Prairie Cove, Ste. A Springdale, AR 72762",None,None,Financial Services- Planning/Advising
Solid Rock Financial Planning,None,None,Mr. Tim Burress,Phone: ,(479) 320-2122,tim.burress@solidrockfinancialplanning.com,Fax:  ,(888) 474-0154,None,None,None,http://www.solidrockfinancialplanning.com,None,None,"2861 South Barrington Rd. Tontitown, AR 72762",None,None,None,None,None,Financial Services- Planning/Advising
1-800 Water Damage of Rogers and Bentonville,None,None,Mrs. Maria Reyes,Phone: ,(479) 480-5070,maria.reyes@1800waterdamage.com,Fax:  ,None,None,None,None,http://www.1800waterdamage.com/rogers-bentonville,None,None,"1533 North Greenwood Ave. Fort Smith, AR 72901",None,None,None,None,None,Fire & Water Damage Restoration
"Pruden Restoration, LLC",None,None,Mr. Joel Pruden,Phone: ,(479) 419-9500,None,None,None,joel@prudenrestoration.com,Fax:  ,None,None,None,None,http://www.prudenrestoration.com,None,None,"128 West Emma Ave. Springdale, AR 72764",None,None,Fire & Water Damage Restoration
Service Master By Quality Restoration,None,None,Mr. Mike Haney,Phone: ,(479) 756-4169,None,None,None,claims@servicemasterqr.com,Fax:  ,(479) 717-2549,None,None,None,www.servicemasterqr.com,None,None,"100 East Robinson Ave. Springdale, AR 72764",None,None,Fire & Water Damage Restoration
SERVPRO,None,None,Mr. Brian Devecsery,Phone: ,(479) 790-4088,None,None,None,b.devecsery@servproteamjones.com,Fax:  ,(479) 419-5573,None,None,None,http://www.servprofayettevillespringdale.com,None,None,"228 East Robinson Ave. Springdale, AR 72764",None,None,Fire & Water Damage Restoration
Food Safety Net Services ,None,None,Ms. Elizabeth Kirchman,Phone: ,(479) 231-1024,elizabeth.kirchman@fsns.com,Fax:  ,None,None,None,None,www.FSNS.com,None,None,"3559 North Thompson St. Springdale, AR 72764",None,None,None,None,None,Food Science/Testing
"Brashears Furniture, Inc.",None,None,Ms. Cathy Ellis,Phone: ,(479) 751-7222,None,None,None,cathy@brashears.com,Fax:  ,None,None,None,None,http://www.brashears.com,None,None,"4900 South Thompson Springdale, AR 72764",None,None,Furniture Sales or Rental
James + James,None,None,Mr. James Smith,Phone: ,(479) 633-7557,None,None,None,sales@carpenterjames.com,Fax:  ,None,None,None,None,http://www.carpenterjames.com,None,None,"111 South Main St. Springdale, AR 72764",None,None,Furniture Sales or Rental
Precious Cargo,None,None,Mr. Steve Purtle,Phone: ,(479) 444-7300,cargo456@gmail.com,Fax:  ,None,None,None,None,http://www.preciouscargofurniture.com,None,None,"3932 South Thompson St. Springdale, AR 72764",None,None,None,None,None,Furniture Sales or Rental
Sam's Furniture,None,None,Mr. Joe Donaldson,Phone: ,(479) 756-8191,joe@samsfurniture.net,Fax:  ,(479) 756-2016,None,None,None,http://www.samsfurniture.net,None,None,"4326 Hidden Creek Ln. Springdale, AR 72762",None,None,None,None,None,Furniture Sales or Rental
Sam's Furniture Design Gallery,None,None,Mr. Joe Donaldson,Phone: ,(479) 318-2751,joe@samsfurniture.net,Fax:  ,None,None,None,None,http://www.samsfurniture.net,None,None,"4576 Hidden Creek Lane Springdale, AR 72762",None,None,None,None,None,Furniture Sales or Rental
Sam's Furniture Outlet,None,None,Mr. Joe Donaldson,Phone: ,(479) 347-2329,joe@samsfurniture.net,Fax:  ,None,"4246 Hidden Creek Lane Springdale, AR 72762",None,None,None,None,None,Straight's Lawn and Garden,None,None,Sandy Straight,Phone: ,(479) 751-2233,Furniture Sales or Rental
Straight's Lawn and Garden,None,None,Sandy Straight,Phone: ,(479) 751-2233,None,None,None,shopstraights@yahoo.com,Fax:  ,(479) 751-0313,None,None,None,http://www.shopstraights.com,None,None,"3218 North Thompson St. Springdale, AR 72764-0000",None,None,Furniture Sales or Rental
Springdale Country Club,None,None,Mr. Casey Wroot,Phone: ,(479) 872-2166,casey@springdalecc.com,Fax:  ,(479) 872-2166,None,None,None,http://www.springdalecc.com,None,None,"608 Lakeview Dr. Springdale, AR 72764-0000",None,None,None,None,None,Golf Courses
10 Box Cost-Plus,None,None,Mr. Jason Parker,Phone: ,(479) 751-2528,None,Fax:  ,None,None,None,None,https://www.10boxcostplus.com/,None,None,"1101 South Thompson St. Springdale, AR 72764",None,None,None,None,None,Grocers
El Mercado,None,None,William Manzo,Phone: ,(479) 751-6207,None,None,None,william.manzo@losaltostortilla.com,Fax:  ,(479) 751-6229,None,None,None,https://losaltostortilla.com/,None,None,"1930 East Mountain Rd. Springdale, AR 72764",None,None,Grocers
Harps Food Stores # 119,None,None,Ms. Sarah Thacker,Phone: ,(479) 751-6850,sthacker@harpsfood.com,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"2894 West Sunset Ave. Springdale, AR 72762",None,None,None,None,None,Grocers
Harps Food Stores #123,None,None,Mr. Nate Coffman,Phone: ,(479) 361-1900,None,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"1007 Jones Rd. Springdale, AR 72762",None,None,None,None,None,Grocers
Harps Food Stores #170,None,None,Mr. Kevin Wright,Phone: ,(479) 927-3300,None,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"1945 Butterfield Coach Rd. Springdale, AR 72764",None,None,None,None,None,Grocers
Harps Food Stores #186,None,None,Mr. Earl Merryman,Phone: ,(479) 751-9027,None,Fax:  ,None,None,None,None,https://www.harpsfood.com/,None,None,"1308 North Thompson St. Springdale, AR 72764",None,None,None,None,None,Grocers
Supermercado El Ranchito INC,None,None,Ms. Lidia Almaraz,Phone: ,(479)-750-1888,None,None,None,ranc1998@yahoo.com,Fax:  ,(479)-751-4964,None,None,None,https://elranchito-dallas.com/,None,None,"1900 West Huntsville Ave. Springdale, AR 72762",None,None,Grocers
Walmart Neighborhood Market #2742,None,None, Mr. Justin Tallman,Phone: ,(479) 750-7853,jatallm.s02742@us.wal-mart.com,Fax:  ,(479) 750-2473,"1375 Market Square Dr. Springdale, AR 72764-0000",None,None,None,None,None,Walmart Neighborhood Market Store 5738,None,None,Mr. Steven Reed,Phone: ,(479) 750-4683,Grocers
Walmart Neighborhood Market Store 5738,None,None,Mr. Steven Reed,Phone: ,(479) 750-4683,sbreed.so5738.us@walmart.com,Fax:  ,(479) 750-2900,"3553 East Robinson Ave. Springdale, AR 72764",None,None,None,None,None,None,None,None,None,None,None,Grocers
"Razorback Aquatic Club, Inc.",None,None,Mr. John Moseley,Phone: ,(479) 236-2904,john@aquahawgs.org,Fax:  ,None,None,None,None,http://www.aquahawgs.org,None,None,"P.O. Box 7062 Springdale, AR 72766",None,None,None,None,None,Gym/Health Center/Fitness
Springdale Vision Clinic,None,None,Dr. Wesley Andersen,Phone: ,(479) 751-3937,None,None,None,springdalevision@gmail.com,Fax:  ,(479) 751-7518,None,None,None,http://www.springdalevisionclinic.com/,None,None,"3291 South Thompson St., C101 Springdale, AR 72764",None,None,Gym/Health Center/Fitness
Family Network,None,None,Ms. Audrey Zaveleta,Phone: ,(479) 755-4052,None,None,None,info@familynetworknwa.com,Fax:  ,None,None,None,None,http://www.familynetworknwa.com,None,None,"614 East Emma Ave., Ste. 201 Springdale, AR 72764",None,None,Health & Safety - Consulting/Training/Education
"Prosper Med, LLC",None,None,Mrs. Diana McDaniel,Phone: ,(501) 251-5265,None,None,None,dianaamcdaniel@gmail.com,Fax:  ,None,None,None,None,https://prostaff.prospermedstaff.com/,None,None,"5100 South Thompson, Ste. 215 Springdale, AR 72764",None,None,Health & Safety - Consulting/Training/Education
ARcare,None,None,Ms. Emily Brenneman,Phone: ,(479) 756-1699,emily.brenneman@arcare.net,Fax:  ,(479) 756-1693,None,None,None,https://www.arcare.net/blog/locations/individual/springdale-medical/,None,None,"3057 Springdale Ave. Springdale, AR 72762",None,None,None,None,None,Healthcare/Treatment Centers
Perimeter of the Ozarks,None,None,Ms. Sara Loftif,Phone: ,(479) 957-9857,saloftif@perimeterhealthcare.com,Fax:  ,(479) 751-2599,None,None,None,https://www.perimeterhealthcare.com,None,None,"2466 South 48th St., Ste. B Springdale, AR 72762",None,None,None,None,None,Healthcare/Treatment Centers
Piney Ridge Treatment Center,None,None,Mr. Matt John,Phone: ,(479) 587-1408,Matt.John@pineyridge.net,Fax:  ,None,None,None,None,http://www.pineyridge.net,None,None,"2805 East Zion Rd. Fayetteville, AR 72703",None,None,None,None,None,Healthcare/Treatment Centers
"The Breast Center, A MANA Clinic",None,None,Ms. Carole Masterson,Phone: ,(479) 442-6266,None,Fax:  ,None,None,None,None,http://www.breastcenternwa.com,None,None,"3383 North MANA Ct., Ste. 125 Fayetteville, AR 72703",None,None,None,None,None,Healthcare/Treatment Centers
"Veridance Pharmaceutical, Inc.",None,None,Mr. Martin Gomez,Phone: ,(479) 334-5628,None,None,None,martin@bioinnovationspharmacal.com,Fax:  ,(479) 334-5626,None,None,None,https://www.BioPharmaNWA.com,None,None,"505 Sanders Ave. Springdale, AR 72764",None,None,Healthcare/Treatment Centers
Walmart Supercenter Springdale #4108,None,None,Mr. Justin Maloney,Phone: ,(479) 306-7025,jlm00po.504108.us@wal-mart.com,Fax:  ,None,None,None,None,https://www.walmart.com/store/4108-springdale-ar,None,None,"4870 Elm Springs Rd. Springdale, AR 72762",None,None,None,None,None,Healthcare/Treatment Centers
Natural Hearing Centers,None,None,Ms. Kim McAllister,Phone: ,(479) 935-1026,kim@naturalhearingcenters.com,Fax:  ,None,None,None,None,http://www.naturalhearingcenters.com,None,None,"125 E. Township St., Ste. 5 Fayetteville, AR 72703",None,None,None,None,None,Hearing Center/Audiologist
Wolfpack Hearing Clinic,None,None,Mrs. Marla Richards,Phone: ,(479) 957-9300,None,None,None,mcr@wolfpackhearing.com,Fax:  ,(844) 315-8558,None,None,None,http://www.woldpackhearing.com,None,None,"2630 East Citizens Dr., #7 Fayetteville, AR 72703",None,None,Hearing Center/Audiologist
Absolute Heat & Air,None,None,Mr. Chad Dewey,Phone: ,(479) 531-1964,None,None,None,info@ahahvac.com,Fax:  ,None,None,None,None,www.ahahvac.com,None,None,"1083 East Lowell Ave. Cave Springs, AR 72718",None,None,Heating & Air Conditioning - Contractors/Parts
Airetech Corporation,None,None,Davin Hicks,Phone: ,(479) 756-8600,davin@airetechcorp.com,Fax:  ,(479) 751-0576,None,None,None,https://airetechcorp.com/,None,None,"3241 West Huntsville Ave. Springdale, AR 72762-3872",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
Anderson Air,None,None,Mr. Jordan Erlich,Phone: ,(479) 751-6210,jordan@andersonair.com,Fax:  ,None,None,None,None,http://www.andersonair.com,None,None,"1374 Carley Rd. Springdale, AR 72762",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
Bud Anderson Home Services,None,None,Ms. Debra Bifulco,Phone: ,(479) 927-2700,None,None,None,debra@ba-hvac.com,Fax:  ,None,None,None,None,http://www.ba-hvac.com/,None,None,"524 South Lincoln St. Lowell, AR 72745",None,None,Heating & Air Conditioning - Contractors/Parts
Gold Mechanical,None,None,Ms. Carla Ruark,Phone: ,(479) 472-3245,None,None,None,cruark@goldmechanical.com,Fax:  ,None,None,None,None,http://www.goldmechanical.com,None,None,"1107 B Shaver Dr. Springdale, AR 72762",None,None,Heating & Air Conditioning - Contractors/Parts
Harrison Energy Partners,None,None,Jim Bradford,Phone: ,(479) 361-2030,jbradford@harrisonenergy.com,Fax:  ,(479) 361-5977,None,None,None,https://www.harrisonenergy.com/,None,None,"2499 South Maestri Rd. Springdale, AR 72762-0000",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
Middleton Heat & Air,None,None,Mr.  Raymond Deaton,Phone: ,(479) 384-3202,rdeaton@middletoninc.com,Fax:  ,None,None,None,None,https://www.middletoninc.com,None,None,"3920 Cawood Ln. Springdale, AR 72762",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
"Northwest Controls Systems, Inc.",None,None,Mr. Anthony Lyons,Phone: ,(479) 872-9000,andy.lyons@nwcontrols.com,Fax:  ,(479) 756-9866,None,None,None,http://www.nwcontrols.com,None,None,"3241 West Huntsville Ave. Springdale, AR 72762",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
"Paschal Heating & Air Conditioning Co., Inc.",None,None,Mr. Charley Boyce,Phone: ,(479) 751-0195,charley@paschalcorp.com,Fax:  ,(479) 756-5998,None,None,None,https://gopaschal.com/,None,None,"280 North Maestri Rd. Springdale, AR 72762",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
Powers of Arkansas,None,None,Mr. Chase Ransom,Phone: ,(479) 927-9999,None,None,None,chase.ransom@powers-hvac.com,Fax:  ,None,None,None,None,http://www.powers-hvac.com,None,None,"1219 Wagon Wheel Rd. Springdale, AR 72764",None,None,Heating & Air Conditioning - Contractors/Parts
Questec Mechanical,None,None,Mr. Mike Cox,Phone: ,(479) 717-2924,mike.cox@questec.us,Fax:  ,(479) 419-5309,None,None,None,www.questec.us,None,None,"1215 B ESI Dr. Springdale, AR 72764",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
"Sturdivant's Mechanical, LLC",None,None,Ms. Teresa Warren,Phone: ,(479) 751-2178,None,None,None,teresa.sturdivants@cox.net,Fax:  ,(479) 751-4368,None,None,None,http://www.sturdivantshvac.com,None,None,"101 Butterfield Coach Rd. Springdale, AR 72764",None,None,Heating & Air Conditioning - Contractors/Parts
Trane CSO,None,None,Ms. Tracy Hancock,Phone: ,(479) 725-3684,tracy.hancock@trane.com,Fax:  ,None,None,None,None,http://www.trane.com,None,None,"401 Skyler St. Springdale, AR 72762",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
TWC Services,None,None,Mr. Eric Summers,Phone: ,(479) 872-9505,eric.summers@twcservices.com,Fax:  ,None,None,None,None,http://www.twcservices.com,None,None,"2886 North Lowell Rd. Springdale, AR 72764",None,None,None,None,None,Heating & Air Conditioning - Contractors/Parts
Circle of Life,None,None,Ms. Nancy Desler,Phone: ,(479) 750-6632,None,None,None,ndesler@nwacircleoflife.org,Fax:  ,None,None,None,None,http://nwacircleoflife.com/,None,None,"901 Jones Rd. Springdale, AR 72762",None,None,Home Health Care
Circle Of Life Hospice,None,None,Ms. Nancy Desler,Phone: ,(479) 750-6632,ndesler@nwacircleoflife.org,Fax:  ,(479) 750-6622,None,None,None,http://www.nwacircleoflife.com,None,None,"901 Jones Rd. Springdale, AR 72762-0000",None,None,None,None,None,Home Health Care
Home Bound,None,None,Mrs. Gayla Gray,Phone: ,(479) 347-7915,gayla@homeboundmedical.com,Fax:  ,(870) 424-2223,None,None,None,http://www.homeboundmedical.com,None,None,"2060 Orchard St., Ste. 200 Springdale, AR 72764",None,None,None,None,None,Home Health Care
Home Helpers & Jetstaff,None,None,Ms. Shannon Brewer,Phone: ,(479) 841-2390,None,None,None,sbrewer@homehelpersar.com,Fax:  ,(479) 717-2155,None,None,None,https://www.homehelpershomecare.com/nwa/,None,None,"324 North 48th St. Springdale, AR 72764",None,None,Home Health Care
Southern Caregivers,None,None,Ms. Vallery Wren,Phone: ,(501) 463-9990,None,None,None,vwren@southerncaregiversar.com,Fax:  ,None,None,None,None,https://www.southerncaregiversar.com/,None,None,"7231 West Sunset Ave., Ste D Springdale, AR 72762",None,None,Home Health Care
Absolute Heat & Air,None,None,Mr. Chad Dewey,Phone: ,(479) 531-1964,None,None,None,info@ahahvac.com,Fax:  ,None,None,None,None,www.ahahvac.com,None,None,"1083 East Lowell Ave. Cave Springs, AR 72718",None,None,Home Improvement & Repair
America's Best Choice Siding & Windows,None,None,Mr. Roger Langley,Phone: ,(479) 361-3169,None,None,None,nwa@abcwin.com,Fax:  ,None,None,None,None,http://www.abcnwa.com,None,None,"801 Henryetta St., Ste. 3 Springdale, AR 72762",None,None,Home Improvement & Repair
"Bomgaars Supply, Inc.",None,None,Mr. Tyler Sarratt,Phone: ,(479) 750-9967,None,None,None,store044@fhwww3.orscheln.com,Fax:  ,(479) 756-9984,None,None,None,https://www.bomgaars.com/,None,None,"211 North Maestri Rd. Springdale, AR 72762",None,None,Home Improvement & Repair
Burnett Home Improvement,None,None,Mr. Shawn Donahue,Phone: ,(479) 446-6854,None,None,None,sdonahue@burnettinc.com,Fax:  ,None,None,None,None,http://www.burnettinc.com,None,None,"13243 Puppy Creek Rd., #13 Springdale, AR 72762",None,None,Home Improvement & Repair
Handyman Connection of NW Arkansas,None,None,Mr. Ben Gasca,Phone: ,(479) 756-8250,None,None,None,bgasca@handymanconnection.com,Fax:  ,(479) 756-8169,None,None,None,http://www.handymanconnection.com,None,None,"411 North 40th St. Springdale, AR 72762",None,None,Home Improvement & Repair
"LRD Construction, LLC",None,None,Ms. Sandy DuFrene,Phone: ,(479) 750-4422,None,None,None,sandy.lrdconst@outlook.com,Fax:  ,(479) 750-4422,None,None,None,http://www.lrdconstruction.com,None,None,"16670 East Hwy. 412 Springdale, AR 72764",None,None,Home Improvement & Repair
Ozark Home Pros,None,None,Mr. Eric Barker,Phone: ,(479) 321-3834,None,None,None,eric@ozarkhomepros.com,Fax:  ,None,None,None,None,https://www.ozarkhomepros.com/,None,None,"917B 71 Plaza Ct. Springdale, AR 72764",None,None,Home Improvement & Repair
Arisa Health,None,None,Mr. Tim Hudson,Phone: ,(479) 750-2020,tim.hudson@arisahealth.org,Fax:  ,(479) 751-2964,None,None,None,https://arisahealth.org/,None,None,"2400 South 48th St. Springdale, AR 72762",None,None,None,None,None,Hospitals & Health Care Organizations
Circle of Life,None,None,Ms. Nancy Desler,Phone: ,(479) 750-6632,None,None,None,info@nwacircleoflife.org,Fax:  ,None,None,None,None,http://nwacircleoflife.com/,None,None,"901 Jones Rd. Springdale, AR 72762",None,None,Hospitals & Health Care Organizations
Circle Of Life Hospice,None,None,Ms. Nancy Desler ,Phone: ,(479) 750-6632,None,Fax:  ,(479) 750-6622,None,None,None,http://www.nwacircleoflife.com,None,None,"901 Jones Rd. Springdale, AR 72762-0000",None,None,None,None,None,Hospitals & Health Care Organizations
Community Blood Center of the Ozarks,None,None,Ms. Meredith Johnson,Phone: ,(479) 927-7915,None,None,None,johnsonm@cbco.org,Fax:  ,(479) 927-1203,None,None,None,http://www.cbco.org,None,None,"3503 South Thompson Springdale, AR 72764-2524",None,None,Hospitals & Health Care Organizations
Community Clinic,None,None,Mr. Judd Semingson,Phone: ,(479) 751-7417,None,None,None,ap@communityclinicnwa.org,Fax:  ,(479) 751-4898,None,None,None,http://www.communityclinicnwa.org,None,None,"614 East Emma St., Ste. 300 Springdale, AR 72764",None,None,Hospitals & Health Care Organizations
DaVita Dialysis,None,None,Ms. Teresa Allen,Phone: ,(479) 927-1957,teresa.allen@davita.com,Fax:  ,(479) 751-0523,None,None,None,http://www.davita.com,None,None,"2070 McKenzie Street, Ste. B Springdale, AR 72762",None,None,None,None,None,Hospitals & Health Care Organizations
Home Bound,None,None,Mrs. Gayla Gray,Phone: ,(479) 347-7915,gayla@homeboundmedical.com,Fax:  ,(870) 424-2223,None,None,None,http://www.homeboundmedical.com,None,None,"2060 Orchard St., Ste. 200 Springdale, AR 72764",None,None,None,None,None,Hospitals & Health Care Organizations
Mercy Northwest Arkansas,None,None,Mr. Eric Pianalto,Phone: ,(479) 338-2903,eric.pianalto@mercy.net,Fax:  ,None,None,None,None,http://www.mercy.net/nwa,None,None,"4600 Mercy Ln. Springdale, AR 72762",None,None,None,None,None,Hospitals & Health Care Organizations
Northwest Arkansas Pathology Associates,None,None,Ms. Sonya Cagle,Phone: ,(479) 442-0144,szc@nwapathology.com,Fax:  ,(479) 442-4557,None,None,None,http://www.nwapathology.com,None,None,"390 East Longview St. Fayetteville, AR 72703",None,None,None,None,None,Hospitals & Health Care Organizations
Northwest Health,None,None,Mrs. Christina Bull,Phone: ,(479) 751-5711,None,None,None,cbull@NW-Health.com,Fax:  ,(479) 757-2928,None,None,None,http://www.northwesthealth.com,None,None,"609 West Maple Ave. Attn: Marketing Springdale, AR 72764-0000",None,None,Hospitals & Health Care Organizations
Piney Ridge Treatment Center,None,None,Mr. Matt John,Phone: ,(479) 587-1408,Matt.John@pineyridge.net,Fax:  ,None,None,None,None,http://www.pineyridge.net,None,None,"2805 East Zion Rd. Fayetteville, AR 72703",None,None,None,None,None,Hospitals & Health Care Organizations
PremierCare of Northwest Arkansas,None,None,Mr. Bruce Shepard,Phone: ,(479) 750-6579,None,None,None,bshephard@nw-health.com,Fax:  ,(479) 757-2992,None,None,None,http://pcnwa.net/contact_us.php,None,None,"601 West Maple Ave. Suite 707 Springdale, AR 72764-6937",None,None,Hospitals & Health Care Organizations
"Shiloh Nursing & Rehab, LLC",None,None,Ms. Lesly Rodriguez,Phone: ,(479) 750-3800,None,None,None,admin@shilohhr.com,Fax:  ,(479) 750-3802,None,None,None,http://www.shilohhr.com,None,None,"1092 Stultz Rd. Springdale, AR 72764",None,None,Hospitals & Health Care Organizations
Springdale Center for Health at Harber Meadows,None,None,Ms. Natalie Hardin,Phone: ,(479) 463-1290,nhardin@wregional.com,Fax:  ,(479) 463-7933,None,None,None,http://www.wregional.com,None,None,"813 Founders Park Dr., Ste. 206 Springdale, AR 72762",None,None,None,None,None,Hospitals & Health Care Organizations
Springdale Health & Rehabilitation Center,None,None,Ms. Stephany Lacey,Phone: ,(479) 756-0330,stephany.lacey@nhsmgt.com,Fax:  ,(479) 872-1502,None,None,None,https://springdalehealthandrehab.com/?utm_source=Bing&utm_medium=Yext,None,None,"102 North Gutensohn Rd. Springdale, AR 72762",None,None,None,None,None,Hospitals & Health Care Organizations
Springwoods Behavioral Health,None,None,Ms. Sharon Ledbetter,Phone: ,(479) 973-6000,None,None,None,sharon.ledbetter@uhsinc.com,Fax:  ,(479) 973-6050,None,None,None,http://www.springwoodsbehavioral.com,None,None,"1955 West Truckers Dr. Fayetteville, AR 72704",None,None,Hospitals & Health Care Organizations
UAMS Northwest,None,None,Mr. Eric Leemis,Phone: ,(312) 719-4322,ebleemis@uams.edu,Fax:  ,None,None,None,None,http://www.northwestcampus.uams.edu,None,None,"1125 North College Ave. Fayetteville, AR 72703",None,None,None,None,None,Hospitals & Health Care Organizations
Veterans Healthcare System of the Ozarks,None,None,Ms. Wanda Shull,Phone: ,(479) 443-4301,wanda.shull@va.gov,Fax:  ,(479) 444-5089,None,None,None,https://www.va.gov/fayetteville-arkansas-health-care/,None,None,"1100 North College Ave. Fayetteville, AR 72758",None,None,None,None,None,Hospitals & Health Care Organizations
Washington Regional Medical System,None,None,Ms. Natalie Hardin,Phone: ,(479) 463-1290,nhardin@wregional.com,Fax:  ,None,None,None,None,http://www.wregional.com,None,None,"3215 North Northhills Blvd. Fayetteville, AR 72703",None,None,None,None,None,Hospitals & Health Care Organizations
Washington Regional Urgent Care,None,None,Ms. Amy Watson,Phone: ,(479) 717-7089,None,None,None,ljohnston@wrgegionalurgentcare.com,Fax:  ,None,None,None,None,http://www.urgentteam.com,None,None,"3300 West Sunset Ave. Springdale, AR 72762",None,None,Hospitals & Health Care Organizations
Willow Creek Women's Hospital,None,None,Ms. Juli McWhorter,Phone: ,(479) 684-3000,jmcwhorter@nw-health.com,Fax:  ,(479) 684-3075,None,None,None,https//www.northwesthealth.com/willow-creek-womens-hospital,None,None,"4301 Greathouse Springs Rd. Johnson, AR 72741-0000",None,None,None,None,None,Hospitals & Health Care Organizations
Buffalo Outdoor Center,None,None,Mr. Austin Albers,Phone: ,(870) 861-5514,None,None,None,boc@buffaloriver.com,Fax:  ,(870) 861-5501,None,None,None,www.buffaloriver.com,None,None,"1 Main St. Ponca, AR 72670",None,None,Hotels/Motels/Bed & Breakfasts
Cherokee Casino & Hotel West Siloam Springs,None,None,Ms. Shannon Jennings,Phone: ,(800) 754-4111,None,None,None,shannon.jennings@cnent.com,Fax:  ,(918) 422-6229,None,None,None,http://www.cherokeecasino.com,None,None,"2416 Highway 412 Colcord, OK 74338",None,None,Hotels/Motels/Bed & Breakfasts
DoubleTree Club by Hilton,None,None,Narry Krushiker,Phone: ,(479) 751-7200,nkrushiker@aol.com,Fax:  ,(479) 756-2900,None,None,None,http://doubletree3.hilton.com/en/hotels/arkansas/doubletree-club-by-hilton-hotel-springdale-FYVDTDT/index.html,None,None,"4677 West Sunset Ave. Springdale, AR 72762-0000",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
Fairfield Inn & Suites,None,None,Ms. Medina Wilson,Phone: ,(479) 419-5722,mwilson1@kinseth.com,Fax:  ,(479) 419-5733,None,None,None,https://www.marriott.com/hotels/travel/spzfi-fairfield-inn-and-suites-springdale/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,None,None,"1043 Rieff St. Springdale, AR 72762",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
Hampton Inn & Suites,None,None,Ms. Rickey Tatman,Phone: ,(479) 756-3500,rickey.tatman@atriumhospitality.com,Fax:  ,(479) 927-3500,None,None,None,http://www.hamptoninnspringdale.com,None,None,"1700 South 48th St. Springdale, AR 72762-0000",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
Holiday Inn/Northwest Arkansas Convention Center,None,None,Mr. Jayson Janda,Phone: ,(479) 751-8300,None,None,None,hinwafrontdesk@gmail.com,Fax:  ,(479) 751-4640,None,None,None,https://www.ihg.com/holidayinn/hotels/us/en/springdale/spdar/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-US-_-SPDAR,None,None,"1500 South 48th St. Springdale, AR 72762-0000",None,None,Hotels/Motels/Bed & Breakfasts
Home2Suites,None,None,Mr. Alex Sanabria,Phone: ,(479) 756-1260,alex.sanabria-almodovar@hilton.com,Fax:  ,None,None,None,None,https://home2suites3.hilton.com,None,None,"1519 South 48th Street Springdale, AR 72762",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
La Quinta Inn & Suites by Wyndham,None,None,Mr. Kevin Patel,Phone: ,(479) 751-2626,lq.springdale@gmail.com,Fax:  ,(479) 751-0075,None,None,None,https://www.wyndhamhotels.com/laquinta/springdale-arkansas/la-quinta-springdale/overview?CID=LC:LQ::GGL:RIO:National:18086&iata=00093796,None,None,"1300 South 48th St. Springdale, AR 72762-0000",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
Residence Inn by Marriott,None,None,Ms. Candice Saner,Phone: ,(479) 872-9100,candice.browning@smchotels.com,Fax:  ,(479) 872-9101,None,None,None,http://www.marriott.com/spzri,None,None,"1740 South 48th St. Springdale, AR 72762",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
Royal Inn,None,None,Mr. Bob Patel,Phone: ,(479) 756-0040,None,Fax:  ,None,None,None,None,https://www.royalinnspringdale.com/,None,None,"1042 48th Pl. Springdale, AR 72762",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
TownePlace Suites by Marriott Fayetteville North/Springdale,None,None,Mr. Richard Soltero,Phone: ,(479) 966-4400,richard.soltero@aimbridge.com,Fax:  ,(479) 249-6145,None,None,None,http://www.marriott.com/fyvjh,None,None,"5437 South 48th St. Springdale, AR 72762",None,None,None,None,None,Hotels/Motels/Bed & Breakfasts
NOARK - NWA Human Resource Association,None,None,Ms. Misty McGlothlin,Phone: ,(479) 238-0918,None,None,None,mmcglothlin@siloamsprings.com,Fax:  ,None,None,None,None,http://www.noark.org,None,None,"P.O. Box 1016 Fayetteville, AR 72704",None,None,Human Resources Consulting
